Company,Mission,Vision,MV
The Toro Company,"To be a leading worldwide provider of outdoor landscaping products, services, and integrating system. Also to explore new opportunities that build revenue growth and sustainability using our core compitencies to gain the leading market position. ","To help customers beautify and preserve the outdoor landscapes, with environmentally responsible solutions of customer-valued quality and innovation.","To be a leading worldwide provider of outdoor landscaping products, services, and integrating system. Also to explore new opportunities that build revenue growth and sustainability using our core compitencies to gain the leading market position.  To help customers beautify and preserve the outdoor landscapes, with environmentally responsible solutions of customer-valued quality and innovation."
"The Travelers Companies, Inc.","Travelers offers a wide variety of property and casualty insurance and surety products and services to businesses, organizations and individuals in the United States and in selected international markets. In addition, the company can meet insurance needs in more than 90 countries worldwide through our network of insurers. Products are distributed primarily through independent insurance agents and brokers. Our success is built upon our ability to provide innovative insurance and risk protection products and services in-synch with our customers' needs.",,"Travelers offers a wide variety of property and casualty insurance and surety products and services to businesses, organizations and individuals in the United States and in selected international markets. In addition, the company can meet insurance needs in more than 90 countries worldwide through our network of insurers. Products are distributed primarily through independent insurance agents and brokers. Our success is built upon our ability to provide innovative insurance and risk protection products and services in-synch with our customers' needs. "
The Valspar Corporation,"The Valspar Corporation's mission is to be the best coatings company in the world as judged by our customers, shareholders, employees, suppliers and the communities in which we operate.","We want to be the paint and coatings brand the world trusts, when it matters most.","The Valspar Corporation's mission is to be the best coatings company in the world as judged by our customers, shareholders, employees, suppliers and the communities in which we operate. We want to be the paint and coatings brand the world trusts, when it matters most."
The Walt Disney Company,Producing unparalleled entertainment experiences based on its rich legacy of quality creative content and exceptional storytelling.,"To give our guests opportunities to create memories with their friends, families and loved ones that will last forever. ","Producing unparalleled entertainment experiences based on its rich legacy of quality creative content and exceptional storytelling. To give our guests opportunities to create memories with their friends, families and loved ones that will last forever. "
The Washington Post Company,,, 
The Wendy's Company,"To deliver superior quality products and services for our customers and communities through leadership, innovation and partnerships.","When everyday people sort through all the ‘spin’ there is one quick-service restaurant that is ‘A Cut Above’… that’s Wendy’s … we stand for honest food … higher quality, fresh, wholesome food … prepared when you order it … prepared by Wendy’s kind of people … people that believe this is My Wendy’s … we do it Dave’s Way … we don’t cut corners.","To deliver superior quality products and services for our customers and communities through leadership, innovation and partnerships. When everyday people sort through all the ‘spin’ there is one quick-service restaurant that is ‘A Cut Above’… that’s Wendy’s … we stand for honest food … higher quality, fresh, wholesome food … prepared when you order it … prepared by Wendy’s kind of people … people that believe this is My Wendy’s … we do it Dave’s Way … we don’t cut corners."
The Western Union Company,"We do business each day with absolute integrity, honesty and passion, partnering as a team to meet our consumers’ needs.",The Premier Financial Service Provider for the Underserved.,"We do business each day with absolute integrity, honesty and passion, partnering as a team to meet our consumers’ needs. The Premier Financial Service Provider for the Underserved."
"The Williams Companies, Inc.","To build careers worth having, businesses worth owning, and lives worth living.",To be the real estate company of choice.,"To build careers worth having, businesses worth owning, and lives worth living. To be the real estate company of choice."
Thermo Fisher Scientific Inc.,"We develop and deliver innovative and environmentally responsible products to our customers. We emphasize environmental stewardship, sound financial management and operational efficiency, while fostering a positive and sustainable workplace for our employees. We serve the communities in which we live and work with hands-on involvement through volunteerism and other charitable causes. And, we provide philanthropic support with the overarching goal of inspiring students to pursue careers in science, technology, engineering and math, so they will one day help us fulfill our mission as future employees or customers.","World leader in serving science and our product portfolio really is the broadest of any supplier in the industry focussed on analytical instrument , equipment consumables and laboratory supplies.","We develop and deliver innovative and environmentally responsible products to our customers. We emphasize environmental stewardship, sound financial management and operational efficiency, while fostering a positive and sustainable workplace for our employees. We serve the communities in which we live and work with hands-on involvement through volunteerism and other charitable causes. And, we provide philanthropic support with the overarching goal of inspiring students to pursue careers in science, technology, engineering and math, so they will one day help us fulfill our mission as future employees or customers. World leader in serving science and our product portfolio really is the broadest of any supplier in the industry focussed on analytical instrument , equipment consumables and laboratory supplies."
"Thor Industries, Inc.",,, 
Thrivent Financial for Lutherans," Thrivent Financial for Lutherans is a faith-based membership organization called to improve the quality of life of its members, their families, and their communities by providing unparalleled solutions that focus on financial security, wellness and caring for others.","Our vision is to be the organization that Lutherans, Lutheran congregations and Lutheran institutions seek first when pursuing their financial goals. More than creating financial solutions, we add the unique capability of enabling Lutherans to demonstrate their care and concern for others."," Thrivent Financial for Lutherans is a faith-based membership organization called to improve the quality of life of its members, their families, and their communities by providing unparalleled solutions that focus on financial security, wellness and caring for others. Our vision is to be the organization that Lutherans, Lutheran congregations and Lutheran institutions seek first when pursuing their financial goals. More than creating financial solutions, we add the unique capability of enabling Lutherans to demonstrate their care and concern for others."
Tiffany & Co.,"To be the world’s most respected and successful designer, manufacturer and retailer of the finest jewelry.",,"To be the world’s most respected and successful designer, manufacturer and retailer of the finest jewelry. "
Time Warner Cable Inc.,"Connect people and businesses with information, entertainment and each other. Give customers control in ways that are simple and easy.","To become the premier service provider of internet, phone and television by leading the marketin innovation while enhancing the overall customer experience and satisfaction.","Connect people and businesses with information, entertainment and each other. Give customers control in ways that are simple and easy. To become the premier service provider of internet, phone and television by leading the marketin innovation while enhancing the overall customer experience and satisfaction."
Time Warner Inc.,"Creativity-> We thrive on innovation and originality encouraging risk-taking and divergent voices. Customer Focus-> We value our customers putting their needs and interests at the center of everything we do. Agility-> We move quickly embracing change and seizing new opportunities. Teamwork-> We treat one another with respect--creating value by working together within and across our businesses. Integrity-> We rigorously uphold editorial independence and artistic expression earning the trust of our readers,viewers, listeners, members and subscribers. Diversity-> We attract and develop the world's best talent seeking to include the broadest range of people and perspectives. Responsibility-> We work to improve our communities taking pride in serving the public interest as well as the interests of our shareholders.",A clear sustainability vision that demonstrates the ways corporate responsibility is embedded in the company's overall business strategy. ,"Creativity-> We thrive on innovation and originality encouraging risk-taking and divergent voices. Customer Focus-> We value our customers putting their needs and interests at the center of everything we do. Agility-> We move quickly embracing change and seizing new opportunities. Teamwork-> We treat one another with respect--creating value by working together within and across our businesses. Integrity-> We rigorously uphold editorial independence and artistic expression earning the trust of our readers,viewers, listeners, members and subscribers. Diversity-> We attract and develop the world's best talent seeking to include the broadest range of people and perspectives. Responsibility-> We work to improve our communities taking pride in serving the public interest as well as the interests of our shareholders. A clear sustainability vision that demonstrates the ways corporate responsibility is embedded in the company's overall business strategy. "
"Titan International, Inc.",Train our field personnel to provide a professional and efficient service to all clients. Establish a high level of internal organisation so as to maintain our commitments to our customers in terms of product availability and project deadlines.Market products which offer excellent reliability and value for money.Ensure maximum exposure of our products and services through a variety of distribution channels.Improve our supplier relationships for our mutual benefit. Ensure the highest standards of health and safety in our operations and the products and services we supply.Establish environmentally friendly work procedures and methods as well as the supply of such products.,To be recognised as the leader in the provision of building services for comfort and safety of the community and the individual in his home.,Train our field personnel to provide a professional and efficient service to all clients. Establish a high level of internal organisation so as to maintain our commitments to our customers in terms of product availability and project deadlines.Market products which offer excellent reliability and value for money.Ensure maximum exposure of our products and services through a variety of distribution channels.Improve our supplier relationships for our mutual benefit. Ensure the highest standards of health and safety in our operations and the products and services we supply.Establish environmentally friendly work procedures and methods as well as the supply of such products. To be recognised as the leader in the provision of building services for comfort and safety of the community and the individual in his home.
Titan Machinery Inc.,"Our mission is to be Equipment Experts, providing best in class solutions for our customers and suppliers.",This is a competitive industry and we are positioned to purchase equipment at the best priceand are able to pass it on to our customers. This means better deals for you.,"Our mission is to be Equipment Experts, providing best in class solutions for our customers and suppliers. This is a competitive industry and we are positioned to purchase equipment at the best priceand are able to pass it on to our customers. This means better deals for you."
TMS International Corp.,"We are committed to ourselves by practicing safe behavior and creating an environment of integrity, initiative and growth.We will have the best maintained equipment.We are committed to creating value for our customers through a partnership of service and innovation.We will provide a return for our investors.",,"We are committed to ourselves by practicing safe behavior and creating an environment of integrity, initiative and growth.We will have the best maintained equipment.We are committed to creating value for our customers through a partnership of service and innovation.We will provide a return for our investors. "
"Toll Brothers, Inc.","As a renowned new home builder, Toll Brothers goes beyond exceptional value, quality, and customer service to create a lifestyle that is rich in beauty, comfort, and luxury. It’s why we’re the nation’s leading builder of luxury homes.",Our ultimate goal is for you to move into a home built to the highest standards.,"As a renowned new home builder, Toll Brothers goes beyond exceptional value, quality, and customer service to create a lifestyle that is rich in beauty, comfort, and luxury. It’s why we’re the nation’s leading builder of luxury homes. Our ultimate goal is for you to move into a home built to the highest standards."
Torchmark Corporation,,, 
"Total System Services, Inc.",,"To be the leading global payment solutions provider to those we serve \u2013 our clients, our shareholders and our team members."," To be the leading global payment solutions provider to those we serve \u2013 our clients, our shareholders and our team members."
"Tower Group, Inc.",,, 
"Tower International, Inc.",We bring structure to the automotive industry.,"We will be the leading global metal structures supplier, consistently operating at a level of excellence that provides the highest value to our stakeholders.","We bring structure to the automotive industry. We will be the leading global metal structures supplier, consistently operating at a level of excellence that provides the highest value to our stakeholders."
Towers Watson & Co.,"To contribute to clients success through its unique capabilities and deep expertise in human capital, risk, and financial services.","To be the undisputed leader in its business globally, the go-to partner for clients, and the destination employer for great talent.","To contribute to clients success through its unique capabilities and deep expertise in human capital, risk, and financial services. To be the undisputed leader in its business globally, the go-to partner for clients, and the destination employer for great talent."
"Toys ""R"" Us, Inc.","To be the World’s Greatest Kids’ Brand, we not only offer parents and families a broad selection of products to create magical playtime memories along with everyday essentials, but we provide the resources necessary to keep their kids safe. This is a core value at the forefront of all we do.",Our Vision is to put joy in kids’ hearts and a smile on parents’ faces.,"To be the World’s Greatest Kids’ Brand, we not only offer parents and families a broad selection of products to create magical playtime memories along with everyday essentials, but we provide the resources necessary to keep their kids safe. This is a core value at the forefront of all we do. Our Vision is to put joy in kids’ hearts and a smile on parents’ faces."
Tractor Supply Company,"To work hard, have fun and make money by providing legendary service and great products at everyday low prices.","To be the most dependable supplier of basic maintenance products to farm, ranch and rural customers.","To work hard, have fun and make money by providing legendary service and great products at everyday low prices. To be the most dependable supplier of basic maintenance products to farm, ranch and rural customers."
TravelCenters of America LLC,To take care of all highway travelers in the finest full-service facilities on the road.,,To take care of all highway travelers in the finest full-service facilities on the road. 
"TreeHouse Foods, Inc.","In order to optimize THS shareholder value, we will: 1. Become the recognized industry leader in private label, customer brands and custom products. 2. Grow tall via product innovation, consumer insight, customer partnerships and strategic acquisitions. 3. Grow strong through strategic vision, operational excellence, structural consolidation and collaborative teamwork. 4. Build competitive advantage through the relentless pursuit of our customers’ needs, lowest cost operations and shareholder returns. 5. Live by our values, true to our beliefs, respecting our legacy heritages and uniting them under one roof and culture, while building the TreeHouse of the future. 6. Exceed the expectations of our customers, suppliers, employees and shareholders alike.","1. May our TreeHouse stand straight and true, rising above branded ancients as the towering symbol of the best in customer brands and custom products. 2. May our TreeHousehold of many cultures expand and prosper through all seasons, united in uncommon customer devotion and unlimited resolve to win. 3.May our TreeHouse endure the test of time, ever growing strong and standing tall.","In order to optimize THS shareholder value, we will: 1. Become the recognized industry leader in private label, customer brands and custom products. 2. Grow tall via product innovation, consumer insight, customer partnerships and strategic acquisitions. 3. Grow strong through strategic vision, operational excellence, structural consolidation and collaborative teamwork. 4. Build competitive advantage through the relentless pursuit of our customers’ needs, lowest cost operations and shareholder returns. 5. Live by our values, true to our beliefs, respecting our legacy heritages and uniting them under one roof and culture, while building the TreeHouse of the future. 6. Exceed the expectations of our customers, suppliers, employees and shareholders alike. 1. May our TreeHouse stand straight and true, rising above branded ancients as the towering symbol of the best in customer brands and custom products. 2. May our TreeHousehold of many cultures expand and prosper through all seasons, united in uncommon customer devotion and unlimited resolve to win. 3.May our TreeHouse endure the test of time, ever growing strong and standing tall."
Trimble Navigation Limited,"To identify, utilize and promote business opportunities for small, small disadvantaged, women-owned small, HubZone small, veteran owned small, and service disabled veteran small businesses to the maximum extent practicable. ",,"To identify, utilize and promote business opportunities for small, small disadvantaged, women-owned small, HubZone small, veteran owned small, and service disabled veteran small businesses to the maximum extent practicable.  "
"Trinity Industries, Inc.",,"To be a premier, diversified industrial company that owns market-leading businesses which provide superior products and services to customers while generating high-quality earnings and returns for shareholders."," To be a premier, diversified industrial company that owns market-leading businesses which provide superior products and services to customers while generating high-quality earnings and returns for shareholders."
Triple-S Management Corporation,"To promote the success of our group of companies through leadership, planning, organization and management in order to achieve the well-being of our shareholders and other constituents.","To be a leader in the health, insurance and financial services industries.","To promote the success of our group of companies through leadership, planning, organization and management in order to achieve the well-being of our shareholders and other constituents. To be a leader in the health, insurance and financial services industries."
"Triumph Group, Inc.","To be the premier aerospace and defense company recognized by customers as their supplier of choice for the aerospace structures, components and assemblies we provide.","To achieve our goals, we protect the integrity of the individual Triumph companies while providing each company with the benefits of being part of a large corporation.  In return, each company is accountable for superior operating and financial results and for contributing to the overall success of the enterprise.  This operating philosophy provides flexibility to capitalize on the changing market environment while delivering superior customer satisfaction. ","To be the premier aerospace and defense company recognized by customers as their supplier of choice for the aerospace structures, components and assemblies we provide. To achieve our goals, we protect the integrity of the individual Triumph companies while providing each company with the benefits of being part of a large corporation.  In return, each company is accountable for superior operating and financial results and for contributing to the overall success of the enterprise.  This operating philosophy provides flexibility to capitalize on the changing market environment while delivering superior customer satisfaction. "
TRW Automotive Holdings Corp.,To be the Global Leader in Automotive Safety Systems.," To be the global leader in active and passive safety systems is built on a foundation of trust – trust in our products, our people and their integrity. Drivers and passengers rely on us and our products every day on roadways all over the world to help protect their most precious possession – their lives and that of their families. Confidence in our products goes hand-in-hand with trust in our people. That trust extends to every one of us representing TRW and it must be honored by holding ourselves to the highest standards of legal and ethical conduct.","To be the Global Leader in Automotive Safety Systems.  To be the global leader in active and passive safety systems is built on a foundation of trust – trust in our products, our people and their integrity. Drivers and passengers rely on us and our products every day on roadways all over the world to help protect their most precious possession – their lives and that of their families. Confidence in our products goes hand-in-hand with trust in our people. That trust extends to every one of us representing TRW and it must be honored by holding ourselves to the highest standards of legal and ethical conduct."
Tupperware Brands Corporation,"Sustain Tupperware Brands' position as the premier, relationship-based, global marketer of quality, innovative products and brands.Inspire confidence in our associates, sales force, consumers and investors.Continue to literally change lives, especially women's, by enabling them to reach their full potential.","To be the premier global direct seller of premium, innovative products.","Sustain Tupperware Brands' position as the premier, relationship-based, global marketer of quality, innovative products and brands.Inspire confidence in our associates, sales force, consumers and investors.Continue to literally change lives, especially women's, by enabling them to reach their full potential. To be the premier global direct seller of premium, innovative products."
Tutor Perini Corporation,,, 
"Tyson Foods, Inc.","We are dedicated to producing and marketing trusted quality food products that fit today’s changing lifestyles and to attracting, rewarding and retaining the best people in the food industry.",Our vision at Tyson is to be the world’s first choice for protein while maximizing shareholder value.,"We are dedicated to producing and marketing trusted quality food products that fit today’s changing lifestyles and to attracting, rewarding and retaining the best people in the food industry. Our vision at Tyson is to be the world’s first choice for protein while maximizing shareholder value."
U.S. Bancorp,Our mission statement captures the simple sentiment that drives our organization  we are working together for our customers and our communities.,"Sharing clear solutions on topics affecting our clients and their shareholders through innovative insights, sophisticated technology, and a solid tradition. ","Our mission statement captures the simple sentiment that drives our organization  we are working together for our customers and our communities. Sharing clear solutions on topics affecting our clients and their shareholders through innovative insights, sophisticated technology, and a solid tradition. "
UGI Corporation,"We will deliver competitively priced, high quality energy products and services to customers in our communities in a manner that expands opportunities, meets shareholders' expectations and fosters economic growth.",Energy and Ideas to Serve the Future.,"We will deliver competitively priced, high quality energy products and services to customers in our communities in a manner that expands opportunities, meets shareholders' expectations and fosters economic growth. Energy and Ideas to Serve the Future."
"Ulta Salon, Cosmetics & Fragrance, Inc.",,, 
"Under Armour, Inc.","To Make All Athletes Better Through Passion, Design And The Relentless Pursuit Of Innovation.",To Empower Athletes Everywhere.,"To Make All Athletes Better Through Passion, Design And The Relentless Pursuit Of Innovation. To Empower Athletes Everywhere."
"Unified Grocers, Inc.","Successat Retail, Sustainability at Wholesale.",,"Successat Retail, Sustainability at Wholesale. "
Union Pacific Corporation,"The Men and Women of Union Pacific Are Dedicated to Serve. Union Pacific works for the good of our customers, our shareholders and one another. Our commitment defines us and drives the economic strength of our company and our country.","Union Pacific is committed to be a railroad where our customers want to do business, our employees are proud to work, shareholder value is created and the safety of the public and our employees is our top priority.","The Men and Women of Union Pacific Are Dedicated to Serve. Union Pacific works for the good of our customers, our shareholders and one another. Our commitment defines us and drives the economic strength of our company and our country. Union Pacific is committed to be a railroad where our customers want to do business, our employees are proud to work, shareholder value is created and the safety of the public and our employees is our top priority."
Unisys Corporation,,, 
"United Continental Holdings, Inc.","The company’s mission is to create or rather establish the world’s leading airline. In order to accomplish this, the company has a vision which is to make the airline the best option for customers, to become the best option for employees to work for and lastly to become the best option for shareholders and investors to invest in.","The company’s mission is to create or rather establish the world’s leading airline. In order to accomplish this, the company has a vision which is to make the airline the best option for customers, to become the best option for employees to work for and lastly to become the best option for shareholders and investors to invest in.","The company’s mission is to create or rather establish the world’s leading airline. In order to accomplish this, the company has a vision which is to make the airline the best option for customers, to become the best option for employees to work for and lastly to become the best option for shareholders and investors to invest in. The company’s mission is to create or rather establish the world’s leading airline. In order to accomplish this, the company has a vision which is to make the airline the best option for customers, to become the best option for employees to work for and lastly to become the best option for shareholders and investors to invest in."
"United Natural Foods, Inc.","To exceed the needs and expectations of all our stakeholders: our customers, associates, natural and specialty product consumers, suppliers, shareholders, communities, the environment and the planet.","To be the unparalleled leader in the distribution, development and marketing of natural and organic, wellness, and specialty food products by fulfilling the highest standards for quality, consistency, sustainability, product assortments, dependability, value-added support services and integrity in our business and personal relationships.","To exceed the needs and expectations of all our stakeholders: our customers, associates, natural and specialty product consumers, suppliers, shareholders, communities, the environment and the planet. To be the unparalleled leader in the distribution, development and marketing of natural and organic, wellness, and specialty food products by fulfilling the highest standards for quality, consistency, sustainability, product assortments, dependability, value-added support services and integrity in our business and personal relationships."
"United Parcel Service, Inc.","Grow our global business by serving the logistics needs of customers, offering excellence and value in all that we do. Maintain a financially strong company-with broad employee ownership-that provides a long-term competitive return to our shareowners. Inspire our people and business partners to do their best, offering opportunities for personal development and success. Lead by example as a responsible, caring, and sustainable company making a difference in the Communities we serve",Our goal is to synchronize the world of commerce by developing business solutions that create value and competitive advantages for our customers.,"Grow our global business by serving the logistics needs of customers, offering excellence and value in all that we do. Maintain a financially strong company-with broad employee ownership-that provides a long-term competitive return to our shareowners. Inspire our people and business partners to do their best, offering opportunities for personal development and success. Lead by example as a responsible, caring, and sustainable company making a difference in the Communities we serve Our goal is to synchronize the world of commerce by developing business solutions that create value and competitive advantages for our customers."
United Refining Company,"It is the mission of United Refining Company to provide our customers with a stable supply of the highest quality petroleum products at competitive prices, insure corporate profitability and growth, invest in the future of the company and community, while providing a safe and challenging working environment and encourage the personal development of our employees."," We fuel cars, trucks, airplanes, and farm and construction equipment, as well as the homes and industries in one of America's largest concentrations of people and commerce. ","It is the mission of United Refining Company to provide our customers with a stable supply of the highest quality petroleum products at competitive prices, insure corporate profitability and growth, invest in the future of the company and community, while providing a safe and challenging working environment and encourage the personal development of our employees.  We fuel cars, trucks, airplanes, and farm and construction equipment, as well as the homes and industries in one of America's largest concentrations of people and commerce. "
"United Rentals, Inc.","Our mission is to: Provide our customers with exceptional service, quality equipment and supplies, professional training and assistance, and information technologies that help them succeed; Provide our employees with extraordinary challenges and fulfillment, and the opportunity to significantly enrich their careers;  Deliver superior returns to our shareholders by achieving strong and consistent financial performance.",,"Our mission is to: Provide our customers with exceptional service, quality equipment and supplies, professional training and assistance, and information technologies that help them succeed; Provide our employees with extraordinary challenges and fulfillment, and the opportunity to significantly enrich their careers;  Deliver superior returns to our shareholders by achieving strong and consistent financial performance. "
United Services Automobile Association,"To facilitate the financial security of its members, associates, and their families through provision of a full range of highly competitive financial products and services; in so doing, USAA seeks to be the provider of choice for the military community.",,"To facilitate the financial security of its members, associates, and their families through provision of a full range of highly competitive financial products and services; in so doing, USAA seeks to be the provider of choice for the military community. "
United States Steel Corporation,"At U. S. Steel, creating value for our stakeholders is a priority. To ensure our long-term success, we aim to build value for our customers, employees, shareholders, creditors, and the communities in which we operate using the same responsible approach that has positioned us as a leader in our industry.","Making Steel. World Competitive. Building Value.  As we continue to build a talented and diverse workforce, we are committed to creating an inclusive work environment and achieving business success in the marketplace.","At U. S. Steel, creating value for our stakeholders is a priority. To ensure our long-term success, we aim to build value for our customers, employees, shareholders, creditors, and the communities in which we operate using the same responsible approach that has positioned us as a leader in our industry. Making Steel. World Competitive. Building Value.  As we continue to build a talented and diverse workforce, we are committed to creating an inclusive work environment and achieving business success in the marketplace."
United Stationers Inc.,To become a high-performance organization delivering exceptional value through superior execution of innovative marketing and logistics services.,To become the compelling partner providing seamless business products solutions.,To become a high-performance organization delivering exceptional value through superior execution of innovative marketing and logistics services. To become the compelling partner providing seamless business products solutions.
United Technologies Corporation,"To deliver continuous market leadership for the brands we represent in Retail, FMCG and Electrical Appliances by providing Outstanding Customer Satisfaction.",To be the leading distributor and retail operator in the market segments in which we operate.,"To deliver continuous market leadership for the brands we represent in Retail, FMCG and Electrical Appliances by providing Outstanding Customer Satisfaction. To be the leading distributor and retail operator in the market segments in which we operate."
UnitedHealth Group Incorporated,Our mission is to help people live healthier lives and to help make the health system work better for everyone. ,,Our mission is to help people live healthier lives and to help make the health system work better for everyone.  
Universal American Corp.,,, 
Universal Corporation,,, 
"Universal Forest Products, Inc.",,, 
"Universal Health Services, Inc.","To provide superior healthcare services that: Patients recommend to families and friends, physicians prefer for their patients, purchasers select for their clients, employees are proud of, and investors seek for long-term results. ",UHS offers vision coverage through a plan that has one of the largest networks of participating doctors and locations nationwide.,"To provide superior healthcare services that: Patients recommend to families and friends, physicians prefer for their patients, purchasers select for their clients, employees are proud of, and investors seek for long-term results.  UHS offers vision coverage through a plan that has one of the largest networks of participating doctors and locations nationwide."
Univision Communications Inc.,,, 
Unum Group,To be the leading provider of employee benefits products and services that help employers manage their businesses and employees protect their families and livelihoods.,To be the leading provider of employee benefits products and services that help employers manage their businesses and employees protect their families and livelihoods.,To be the leading provider of employee benefits products and services that help employers manage their businesses and employees protect their families and livelihoods. To be the leading provider of employee benefits products and services that help employers manage their businesses and employees protect their families and livelihoods.
"Urban Outfitters, Inc.","To help our customers express and their individuality and connect with their interests, needs, passions and each other.",,"To help our customers express and their individuality and connect with their interests, needs, passions and each other. "
URS Corporation,"URS is one of the largest, global, fully integrated engineering, construction and technical services firms. Operating through three divisions URS Division, EG&G Division and Washington Division we provide life-cycle services for transportation, power, industrial infrastructure and process, environmental and nuclear management, facilities, water/wastewater, mining, and defense and security programs.","Preferred partner, applying specialized, best-in-class process technologies worldwide to achieve pinnacle performance in our customers core businesses.","URS is one of the largest, global, fully integrated engineering, construction and technical services firms. Operating through three divisions URS Division, EG&G Division and Washington Division we provide life-cycle services for transportation, power, industrial infrastructure and process, environmental and nuclear management, facilities, water/wastewater, mining, and defense and security programs. Preferred partner, applying specialized, best-in-class process technologies worldwide to achieve pinnacle performance in our customers core businesses."
"US Airways Group, Inc.","The safety and satisfaction of our customers is a top priority for our airline. Customers First is the result of a joint effort of the airline industry, the US Congress, and the US Department of Transportation to address the key service elements that affect our customers.","Customer service has always been a priority at US Airways, and we are committed to making every flight count for our valued customers.","The safety and satisfaction of our customers is a top priority for our airline. Customers First is the result of a joint effort of the airline industry, the US Congress, and the US Department of Transportation to address the key service elements that affect our customers. Customer service has always been a priority at US Airways, and we are committed to making every flight count for our valued customers."
USEC Inc.,To supply enriched uranium and nuclear industry related services in a safe and environmentally responsible manner.,To be the world's most reliable and competitive supplier of enriched uranium and related services and to expand our role in the global resurgence of nuclear power.,To supply enriched uranium and nuclear industry related services in a safe and environmentally responsible manner. To be the world's most reliable and competitive supplier of enriched uranium and related services and to expand our role in the global resurgence of nuclear power.
USG Corporation,,, 
V.F. Corporation,"Our goal is to continuously exceed the expectations of our consumers, customers, shareholders and business partners. We help our retail partners win with consistently solid execution and outstanding service. And we continually find ways to improve our performance and generate bottom line results.","We will grow by building leading lifestyle brands that excite consumers around the world.Ours is a perpetually driven culture, focused on constant innovation. Using deep research and insights, we combine the art and science of apparel to create products that excite consumers and brands that inspire loyalty.We responsibly manage the industry's most efficient and complex supply chain, which spans multiple geographies, product categories and distribution channels.","Our goal is to continuously exceed the expectations of our consumers, customers, shareholders and business partners. We help our retail partners win with consistently solid execution and outstanding service. And we continually find ways to improve our performance and generate bottom line results. We will grow by building leading lifestyle brands that excite consumers around the world.Ours is a perpetually driven culture, focused on constant innovation. Using deep research and insights, we combine the art and science of apparel to create products that excite consumers and brands that inspire loyalty.We responsibly manage the industry's most efficient and complex supply chain, which spans multiple geographies, product categories and distribution channels."
"Valassis Communications, Inc.","We believe in developing best practices that promote sustainability, support community stewardship, and in aligning environmental principles that mirror our corporate values. ",Creating the future of intelligent media delivery to drive your greatest success.,"We believe in developing best practices that promote sustainability, support community stewardship, and in aligning environmental principles that mirror our corporate values.  Creating the future of intelligent media delivery to drive your greatest success."
Valero Energy Corporation,"We work together with the same focus to offer clean fuels, services and products of convenience to all our customers through a single location. Operational excellence, safety and environmental responsibility are the keys to success. In addition to delivering superior returns for our shareholders, our activities also have a beneficial impact on the communities that we serve to improve people’s lives.","We are the premier supplier promoting simultaneous purchasing of clean fuels, services and products of convenience, in response to customers’ needs.We includes our employees our most important asset—as well as our business associates and partners. “Premier supplier” means the most reliable, most customer-responsive supplier that has the best workplace environment and operational performance in the industry. Clean fuels” refers to high quality and environmentally added value petroleum products that we refine, including renewable fuels and that offer consumers the best quality-price ratio. “Convenience” consists in offering through a single location, fuels, services and products that meet the growing needs of our customers.","We work together with the same focus to offer clean fuels, services and products of convenience to all our customers through a single location. Operational excellence, safety and environmental responsibility are the keys to success. In addition to delivering superior returns for our shareholders, our activities also have a beneficial impact on the communities that we serve to improve people’s lives. We are the premier supplier promoting simultaneous purchasing of clean fuels, services and products of convenience, in response to customers’ needs.We includes our employees our most important asset—as well as our business associates and partners. “Premier supplier” means the most reliable, most customer-responsive supplier that has the best workplace environment and operational performance in the industry. Clean fuels” refers to high quality and environmentally added value petroleum products that we refine, including renewable fuels and that offer consumers the best quality-price ratio. “Convenience” consists in offering through a single location, fuels, services and products that meet the growing needs of our customers."
"Valhi, Inc.",,, 
"Valmont Industries, Inc.",,"To recognized throughout the world as an industry leader  in engineered products and services for infrastructure, and water  conserving irrigation equipment for agriculture. We grow our  businesses by leveraging our existing products, markets and  processes. We recognize that our growth will only create  shareholder value if, at the same time, we exceed our cost  of capital. Essential to our success is a company-wide  commitment to customer service and innovation, and the ability  to be the best cost producer for all products and services we  provide. Recognizing that our employees are the cornerstone  of our accomplishments, we pride ourselves on being people  of passion and integrity who excel and deliver results."," To recognized throughout the world as an industry leader  in engineered products and services for infrastructure, and water  conserving irrigation equipment for agriculture. We grow our  businesses by leveraging our existing products, markets and  processes. We recognize that our growth will only create  shareholder value if, at the same time, we exceed our cost  of capital. Essential to our success is a company-wide  commitment to customer service and innovation, and the ability  to be the best cost producer for all products and services we  provide. Recognizing that our employees are the cornerstone  of our accomplishments, we pride ourselves on being people  of passion and integrity who excel and deliver results."
